session,feature,username,hostname,start_action,start_datetime,end_datetime,duration_min,end_action,product,customer,license_type,count,level,hash_id
"28000197D997171F","CAC-MCE","yamonporn.t","AITS25A1NB0210","Grant","2025-08-02 09:25:47.402","2025-08-02 11:18:10.323","112.38","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D997171F-020825092547-AITS25A1NB0210-yamonporn.t"
"480001980D1A7C35","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-08-04 01:47:11.236","2025-08-04 01:59:07.773","11.94","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A7C35-040825014711-AHT19ITNB0030-pathamalee.r"
"480001980D1A7C36","CAC-MCE","thirada.s","AITS25A1NB0260","Grant","2025-08-04 01:48:07.226","2025-08-04 02:05:46.226","17.65","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A7C36-040825014807-AITS25A1NB0260-thirada.s"
"480001980D1A7C37","CAC-MCE","thirada.s","AITS25A1NB0260","Grant","2025-08-04 01:48:12.674","2025-08-04 02:05:51.674","17.65","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A7C37-040825014812-AITS25A1NB0260-thirada.s"
"28000197D99717C1","CAC-MCE","thirada.s","AITS25A1NB0260","Grant","2025-08-04 01:48:20.347","2025-08-04 02:05:59.348","17.65","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D99717C1-040825014820-AITS25A1NB0260-thirada.s"
"28000197D99717C2","CAC-MCE","thirada.s","AITS25A1NB0260","Grant","2025-08-04 01:48:27.524","2025-08-04 10:11:26.674","502.99","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D99717C2-040825014827-AITS25A1NB0260-thirada.s"
"18000197D99709E5","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-08-04 01:47:14.388","2025-08-04 10:24:28.936","517.24","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-18000197D99709E5-040825014714-AHT19ITNB0030-pathamalee.r"
"18000197D99709CF","CAC","wuthinan.j","AHT19ITNB0040","Grant","2025-08-04 00:59:37.329","2025-08-04 12:06:44.258","667.12","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-18000197D99709CF-040825005937-AHT19ITNB0040-wuthinan.j"
"28000197D9971879","CAC-MCE","thirada.s","AITS25A1NB0260","Grant","2025-08-05 00:44:22.311","2025-08-05 05:18:06.846","273.74","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D9971879-050825004422-AITS25A1NB0260-thirada.s"
"18000197D9970ABE","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-08-05 03:50:43.988","2025-08-05 05:31:38.857","100.91","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-18000197D9970ABE-050825035043-AHT19ITNB0030-pathamalee.r"
"18000197D9970ADE","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-08-05 05:55:06.278","2025-08-05 07:21:04.180","85.97","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-18000197D9970ADE-050825055506-AHT19ITNB0030-pathamalee.r"
"480001980D1A7DD0","CAC-MCE","yamonporn.t","AITS25A1NB0210","Grant","2025-08-05 08:23:44.388","2025-08-05 08:26:13.573","2.49","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A7DD0-050825082344-AITS25A1NB0210-yamonporn.t"
"28000197D9971918","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-08-05 07:21:13.335","2025-08-05 08:45:29.215","84.26","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D9971918-050825072113-AHT19ITNB0030-pathamalee.r"
"18000197D9970AE1","CAC-MCE","thirada.s","AITS25A1NB0260","Grant","2025-08-05 06:00:03.084","2025-08-05 10:10:51.140","250.8","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-18000197D9970AE1-050825060003-AITS25A1NB0260-thirada.s"
